state,female_cases
AK,29437
AL,258489
AR,125892
AZ,437199
CA,1833172
CO,207712
CT,112703
DC,23127
DE,50791
FL,828183
GA,428702
GU,2916
HI,11830
IA,179698
ID,89582
IL,665632
IN,336533
KS,152713
KY,115501
LA,10888
MA,347374
MD,139198
ME,27184
MI,242660
MN,269371
MO,30734
MS,27695
MT,52459
NC,481733
ND,12633
NE,89732
NH,4533
NJ,511034
NM,30535
NV,145273
NY,1044375
OH,295990
OK,224540
OR,83477
PA,573299
PR,13873
RI,40804
SC,292571
SD,45849
TN,400290
TX,24664
UT,194684
VA,289647
VI,1116
VT,8511
WA,183224
WI,268826
WV,4037
WY,629
