state,moderna_d1,moderna_d2,pfizer_d1,pfizer_d2,janssen_d1
AK,201700,201700,226200,214500,36700
AL,408700,408700,655590,655590,165300
AR,248000,248000,342225,342225,100400
AZ,579300,579300,929370,929370,234000
CA,3260500,3260500,5670015,5670015,1316800
CO,463500,463500,778245,778245,187400
CT,307000,307000,496080,496080,124200
DC,57100,57100,70200,70200,25000
DE,75500,75500,109980,109980,32900
FL,1783600,1783600,3101475,3101475,720400
GA,845400,845400,1415115,1415115,341800
HI,121400,121400,159900,159900,49200
IA,260900,260900,377715,377715,105600
ID,126200,126200,198900,198900,55100
IL,846300,846300,1417065,1417065,342000
IN,549400,549400,920010,920010,222100
KS,238100,238100,347295,347295,96400
KY,372000,372000,600405,600405,150500
LA,385700,385700,560820,560820,155800
MA,591300,591300,947310,947310,239000
MD,505600,505600,811590,811590,204300
ME,117400,117400,163215,163215,47500
MI,841800,841800,1344720,1344720,340200
MN,460800,460800,739635,739635,186100
MO,510400,510400,819390,819390,206200
MS,246400,246400,357630,357630,99700
MT,89000,89000,111930,111930,35900
NC,852700,852700,1365000,1365000,344500
ND,59700,59700,70200,70200,26200
NE,146200,146200,219570,219570,63800
NH,109200,109200,163215,163215,47600
NJ,749300,749300,1200030,1200030,302900
NM,163100,163100,255840,255840,71000
NV,244200,244200,395070,395070,98800
NY,954100,954100,1593150,1593150,385500
OH,978500,978500,1638000,1638000,395300
OK,321300,321300,519675,519675,129900
OR,350000,350000,564720,564720,141600
PA,963800,963800,1541085,1541085,389200
PR,292900,292900,474630,474630,118500
RI,85800,85800,114270,114270,37500
SC,418800,418800,673335,673335,169200
SD,66000,66000,78975,78975,29000
TN,558700,558700,896805,896805,225800
TX,2232700,2232700,3884205,3884205,901800
UT,232200,232200,337545,337545,94000
VA,709800,709800,1137045,1137045,287000
VT,55500,55500,61425,61425,22500
WA,621000,621000,1041300,1041300,250700
WI,489700,489700,822900,822900,197800
WV,158300,158300,219570,219570,64100
WY,45300,45300,49725,49725,19700
