day,total_vaccinations
1/13/2021,914394
1/14/2021,853010
1/15/2021,923470
1/16/2021,896152
1/17/2021,879768
1/18/2021,868841
1/19/2021,861035
1/20/2021,843417
1/21/2021,858371
1/22/2021,918024
1/23/2021,993568
1/24/2021,1053265
1/25/2021,1056260
1/26/2021,1052445
1/27/2021,1087555
1/28/2021,1167049
1/29/2021,1183879
1/30/2021,1221295
1/31/2021,1253082
2/1/2021,1285199
2/10/2021,1475198
2/11/2021,1510558
2/12/2021,1565462
2/13/2021,1568622
2/14/2021,1576870
2/15/2021,1572288
2/16/2021,1622314
2/17/2021,1557324
2/18/2021,1533744
2/19/2021,1920000
2/2/2021,1249210
2/20/2021,1858870
2/21/2021,1814867
2/22/2021,1809730
2/23/2021,1772050
2/24/2021,1829757
2/25/2021,1893665
2/26/2021,1545347
2/27/2021,1637589
2/28/2021,1726931
2/3/2021,1247287
2/4/2021,1221598
2/5/2021,1210740
2/6/2021,1281480
2/7/2021,1365518
2/8/2021,1377949
2/9/2021,1410693
3/1/2021,1810280
3/10/2021,2147028
3/11/2021,2211130
3/12/2021,2280581
3/13/2021,2518646
3/14/2021,2365132
3/15/2021,2402805
3/16/2021,2423734
3/17/2021,2462434
3/18/2021,2492278
3/19/2021,2443381
3/2/2021,1935701
3/20/2021,2236226
3/21/2021,2474988
3/22/2021,2477983
3/23/2021,2486066
3/24/2021,2479971
3/25/2021,2499397
3/26/2021,2610959
3/27/2021,2663665
3/28/2021,2698042
3/29/2021,2743692
3/3/2021,2003905
3/30/2021,2754602
3/31/2021,2812954
3/4/2021,2035412
3/5/2021,2071523
3/6/2021,2150912
3/7/2021,2152620
3/8/2021,2163103
3/9/2021,2130197
4/1/2021,2888455
4/10/2021,3096159
4/11/2021,3125158
4/12/2021,3197790
4/13/2021,3366374
4/14/2021,3312915
4/15/2021,3330130
4/16/2021,3331292
4/17/2021,3182708
4/18/2021,3177960
4/19/2021,3110397
4/2/2021,2975331
4/20/2021,2998917
4/21/2021,3007177
4/22/2021,2932375
4/23/2021,2847700
4/24/2021,2808989
4/25/2021,2734725
4/26/2021,2725424
4/27/2021,2700922
4/28/2021,2653532
4/29/2021,2613247
4/3/2021,3058761
4/30/2021,2531203
4/4/2021,3070642
4/5/2021,3040034
4/6/2021,2985323
4/7/2021,3015569
4/8/2021,3021098
4/9/2021,3018352
5/1/2021,2530891
5/2/2021,2403394
5/3/2021,2271769
