state,male_cases
AK,32200
AL,208581
AR,112141
AZ,408536
CA,1724847
CO,201837
CT,100255
DC,21161
DE,45051
FL,744845
GA,361879
GU,3915
HI,12997
IA,162825
ID,81968
IL,608824
IN,292877
KS,140131
KY,103019
LA,7945
MA,321349
MD,127044
ME,25397
MI,222796
MN,257183
MO,25738
MS,20114
MT,48398
NC,422949
ND,9913
NE,80361
NH,3663
NJ,484039
NM,29028
NV,135713
NY,979025
OH,245484
OK,199746
OR,79343
PA,508955
PR,12868
RI,34112
SC,246778
SD,43231
TN,346649
TX,48571
UT,192761
VA,268892
VI,1135
VT,8667
WA,181781
WI,247105
WV,3644
WY,506
