state,confirmed_cases
AK,59503
AL,391126
AR,257056
AZ,792674
CA,3619781
CO,398495
CT,206276
DC,44762
DE,91042
FL,1599854
GA,682082
GU,6932
HI,24975
IA,306723
ID,148608
IL,1203532
IN,561681
KS,248210
KY,173301
LA,19790
MA,633056
MD,265092
ME,43046
MI,492163
MN,522933
MO,58437
MS,49517
MT,96665
NA,596
NC,816375
ND,24058
NE,161554
NH,8768
NJ,855533
NM,65806
NV,285632
NY,1783039
OH,486907
OK,344181
OR,169680
PA,938758
PR,23587
RI,72984
SC,481825
SD,91266
TN,685423
TX,75248
UT,394038
VA,469156
VI,2586
VT,20027
WA,361192
WI,528224
WV,8090
WY,1018
